time,pitch,yaw,roll
0,0.0913491,0,0
1,0.0746824,0,0
2,0.0580157,0,0
3,-0.335669,0,0
4,-1.211,0,0
5,-2.40096,0,0
6,-3.66053,0,0
7,-5.00319,0,0
8,-6.39624,0,0
9,-7.71222,0,0
10,-8.75656,0,0
11,-9.70154,0,0
12,-10.3899,0,0
13,-10.8897,0,0
14,-11.2165,0,0
15,-11.3678,0,0
16,-11.3292,0,0
17,-11.0936,0,0
18,-10.6158,0,0
19,-9.89198,0,0
20,-8.94672,0,0
21,-7.81002,0,0
22,-6.61021,0,0
23,-5.47091,0,0
24,-4.40853,0,0
25,-3.35455,0,0
26,-2.36656,0,0
27,-1.54974,0,0
28,-0.93377,0,0
29,-0.486494,0,0
30,-0.179236,0,0
31,0.0273773,0,0
32,0.176739,0,0
33,0.28288,0,0
34,0.356735,0,0
35,0.40178,0,0
