time,pitch,yaw,roll
0,-1.23779,0,0
1,-1.83507,0,0
2,-2.51582,0,0
3,-3.30156,0,0
4,-4.18625,0,0
5,-5.27943,0,0
6,-6.05422,0,0
7,-6.88413,0,0
8,-8.07552,0,0
9,-8.41908,0,0
10,-9.24086,0,0
11,-9.44065,0,0
12,-9.79003,0,0
13,-9.8322,0,0
14,-9.73583,0,0
15,-9.42046,0,0
16,-8.81187,0,0
17,-8.23927,0,0
18,-7.34605,0,0
19,-6.61548,0,0
20,-5.81646,0,0
21,-5.00289,0,0
22,-4.26221,0,0
23,-3.50296,0,0
24,-3.01057,0,0
25,-2.56402,0,0
26,-2.15901,0,0
27,-1.82483,0,0
28,-1.51037,0,0
29,-1.31952,0,0
30,-1.16387,0,0
31,-1.03943,0,0
32,-0.952383,0,0
